Pharm_Class,Category_ID,Category_Name
11-beta Hydroxysteroid Dehydrogenase Type 1 Inhibitors [MoA],CAT009,Hormonal
4-Hydroxyphenyl-Pyruvate Dioxygenase Inhibitor [EPC],CAT014,Medical Devices / Misc
5-Lipoxygenase Inhibitor [EPC],CAT004,Pain & Inflammation
5-alpha Reductase Inhibitor [EPC],CAT009,Hormonal
AMPA Receptor Antagonists [MoA],CAT005,Neurology & Psychiatry
APOC-III-directed RNA Interaction [EPC],CAT003,Cardiovascular
Acetyl Aldehyde Dehydrogenase Inhibitors [MoA],CAT014,Medical Devices / Misc
Acetylcholine Release Inhibitor [EPC],CAT005,Neurology & Psychiatry
Acidifying Activity [MoA],CAT014,Medical Devices / Misc
Actinomycin [EPC],CAT012,Oncology
Actively Acquired Immunity [PE],CAT010,Vaccines & Biologics
Adenosine Receptor Agonist [EPC],CAT003,Cardiovascular
Adenosine Receptor Agonists [MoA],CAT003,Cardiovascular
Adenosine Triphosphate-Citrate Lyase Inhibitor [EPC],CAT003,Cardiovascular
Adrenal Steroid Synthesis Inhibitor [EPC],CAT009,Hormonal
Adrenergic Agonists [MoA],CAT003,Cardiovascular
Adrenergic alpha-Agonists [MoA],CAT003,Cardiovascular
Adrenergic alpha-Antagonists [MoA],CAT003,Cardiovascular
Adrenergic alpha1-Agonists [MoA],CAT003,Cardiovascular
Adrenergic alpha2-Agonists [MoA],CAT003,Cardiovascular
Adrenergic beta-Agonists [MoA],CAT003,Cardiovascular
Adrenergic beta-Antagonists [MoA],CAT003,Cardiovascular
Adrenergic beta1-Antagonists [MoA],CAT003,Cardiovascular
Adrenergic beta2-Agonists [MoA],CAT003,Cardiovascular
Adrenergic beta3-Agonists [MoA],CAT003,Cardiovascular
Adrenocorticotropic Hormone [CS],CAT009,Hormonal
Aldosterone Antagonist [EPC],CAT003,Cardiovascular
Alkaline Phosphatase [CS],CAT014,Medical Devices / Misc
Alkalinizing Activity [MoA],CAT014,Medical Devices / Misc
Alkaloid [EPC],CAT012,Oncology
Alkylating Activity [MoA],CAT012,Oncology
Allergens [CS],CAT006,Allergy & Respiratory
Allogeneic Cultured Cell Scaffold [EPC],CAT014,Medical Devices / Misc
Allylamine Antifungal [EPC],CAT001,Antibiotics
Aluminum Complex [EPC],CAT014,Medical Devices / Misc
Alveolar Surface Tension Reduction [PE],CAT006,Allergy & Respiratory
Amide Local Anesthetic [EPC],CAT004,Pain & Inflammation
Amino Acid [EPC],CAT013,Supplements
Amino Acids,CAT013,Supplements
Aminoglycoside Antibacterial [EPC],CAT001,Antibiotics
Aminoketone [EPC],CAT005,Neurology & Psychiatry
Aminolevulinate Synthase 1-directed RNA Interaction [EPC],CAT012,Oncology
Aminosalicylate [EPC],CAT007,Gastrointestinal
Ammonium Ion Binding Activity [MoA],CAT014,Medical Devices / Misc
Amphenicol-class Antibacterial [EPC],CAT001,Antibiotics
Amphetamine Anorectic [EPC],CAT005,Neurology & Psychiatry
Amylin Agonists [MoA],CAT002,Antidiabetic
Amyloid Beta-directed Antibody Interactions [MoA],CAT005,Neurology & Psychiatry
Analogs/Derivatives [Chemical/Ingredient],CAT014,Medical Devices / Misc
Androgen Receptor Agonists [MoA],CAT009,Hormonal
Androgen Receptor Antagonists [MoA],CAT009,Hormonal
Angiopoietin-like 3 Inhibitor [EPC],CAT003,Cardiovascular
Angiotensin 2 Receptor Antagonists [MoA],CAT003,Cardiovascular
Angiotensin 2 Receptor Blocker [EPC],CAT003,Cardiovascular
Angiotensin Converting Enzyme Inhibitor [EPC],CAT003,Cardiovascular
Anthelmintic [EPC],CAT001,Antibiotics
Anthracycline Topoisomerase Inhibitor [EPC],CAT012,Oncology
Anthrax Protective Antigen-directed Antibody Interactions [MoA],CAT010,Vaccines & Biologics
Anti-IgE [EPC],CAT010,Vaccines & Biologics
Anti-Inflammatory Agents,CAT004,Pain & Inflammation
Anti-anginal [EPC],CAT003,Cardiovascular
Anti-coagulant [EPC],CAT003,Cardiovascular
Anti-epileptic Agent [EPC],CAT005,Neurology & Psychiatry
Antiarrhythmic [EPC],CAT003,Cardiovascular
Antibodies,CAT010,Vaccines & Biologics
Antibodies [CS],CAT010,Vaccines & Biologics
Antibody-Surface Protein Interactions [MoA],CAT010,Vaccines & Biologics
Anticholinergic [EPC],CAT005,Neurology & Psychiatry
Antidiarrheal [EPC],CAT007,Gastrointestinal
Antidote [EPC],CAT014,Medical Devices / Misc
Antiemetic [EPC],CAT007,Gastrointestinal
Antifibrinolytic Agent [EPC],CAT003,Cardiovascular
Antigen Neutralization [MoA],CAT010,Vaccines & Biologics
Antigens,CAT010,Vaccines & Biologics
Antihistamine [EPC],CAT006,Allergy & Respiratory
Antihypoglycemic Agent [EPC],CAT002,Antidiabetic
Antileishmanial [EPC],CAT001,Antibiotics
Antimalarial [EPC],CAT001,Antibiotics
Antimetabolite Immunosuppressant [EPC],CAT012,Oncology
Antimetabolite [EPC],CAT012,Oncology
